"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"Bin.2.74",-0.01108,-0.010953,0.00068627,-0.024024,-0.04323,0.048447,0.013378,-0.020211
"Bin.2.70",-0.093007,-0.032438,-0.054112,-0.065144,-0.018536,-0.067248,-0.023722,0.00244
"Bin.2.66",-0.085787,-0.021445,-0.073045,-0.043185,-0.031296,-0.05431,0.020741,-0.0094772
"Bin.2.62",-0.033168,-0.0041789,-0.047696,-0.033917,-0.038935,-0.061454,0.020273,0.0061607
"Bin.2.58",-0.057238,-0.030014,-0.053735,-0.059165,-0.065429,-0.061306,-0.025568,-0.0052127
"Bin.2.54",-0.095019,-0.029033,-0.061143,-0.059423,-0.029745,-0.066694,-0.014525,-0.0075299
"Bin.2.50",-0.019683,-0.010146,-0.035006,-0.022511,-0.029648,-0.052122,0.012309,-0.012595
"Bin.2.46",-0.022708,0.00014655,-0.043021,-0.020632,-0.019222,-0.046864,-0.0088411,-0.028697
"Bin.2.42",0.0021628,0.010215,-0.0098756,-0.0046451,0.040853,-0.034545,0.0093193,-0.0022817
"Bin.2.38",0.02182,0.0092124,-0.013465,-0.024232,0.027095,-0.038598,-0.0069731,-0.0065654
"Bin.2.34",-0.017219,-0.013247,0.025028,-0.019266,0.038911,-0.05528,-0.046463,0.059182
"Bin.2.30",0.058192,0.020152,0.0033727,0.003044,0.026069,-0.06152,-0.016373,0.018201
"Bin.2.26",0.039255,0.019161,0.01492,0.029824,0.038839,-0.034334,-0.015161,0.053288
"Bin.2.22",0.046152,0.024322,0.0027256,-0.015036,0.025005,-0.058805,0.044847,-0.023649
"Bin.2.18",0.0054508,-0.0026539,-0.0091813,-0.030153,-0.061621,-0.10399,0.056173,-0.0020784
"Bin.2.14",0.031063,0.011891,-0.012651,0.0054333,0.0045381,-0.068124,-0.04042,-0.023406
"Bin.2.10",0.057926,0.012917,0.0020866,0.017496,0.0067512,0.0037382,-0.0076226,-0.0010202
"Bin.2.06",0.043999,0.0060325,-0.0018663,-0.0015849,-0.020938,0.040471,0.035576,-0.028176
"Bin.2.02",0.034451,0.012447,-0.0050998,0.014751,0.01374,0.020598,0.04001,-0.0051634
"Bin.1.98",0.050001,0.010309,-0.0052271,0.014146,-0.0096119,-0.0051266,0.04044,0.00038048
"Bin.1.94",0.045275,0.0069141,0.0025162,0.021351,0.0073652,-0.037014,-0.020568,0.017641
"Bin.1.90",0.041109,0.011604,0.0055783,0.040183,0.045413,0.00072807,-0.0023973,-0.0061895
"Bin.1.86",0.057653,0.0013363,-0.0050526,0.012648,-0.010081,-0.020778,0.038971,0.0030884
"Bin.1.82",0.05422,0.00090379,-0.0085534,-0.0013352,-0.01184,0.0033227,0.0243,-0.0084435
"Bin.1.78",0.058665,0.0040772,-0.015312,0.011668,-0.02552,0.0099843,0.026183,-0.012396
"Bin.1.74",0.064098,0.0095006,-0.017921,0.023691,0.0037081,0.00093747,-0.014641,-0.047471
"Bin.1.70",0.074003,0.014833,-0.0085457,0.019721,0.007457,0.012381,0.0018506,-0.029522
"Bin.1.66",0.063166,0.011808,-0.0016311,0.0023912,-0.0021806,-0.0013137,0.013161,-0.0040969
"Bin.1.62",0.064259,0.012781,-0.0035483,0.0042974,0.014645,-0.013388,0.00824,-0.017642
"Bin.1.58",0.059913,0.013574,-0.011525,-0.0062165,-0.0068741,-0.016162,0.013485,-0.028063
"Bin.1.54",0.054591,0.014477,-0.0078457,0.030166,-0.0034129,-0.031657,0.025385,-0.060313
"Bin.1.50",0.063496,0.0033424,-0.022715,0.0079752,0.004325,-0.032451,-0.050054,-0.045221
"Bin.1.46",0.06118,0.0059882,-0.014401,0.02421,0.034226,-0.043524,-0.021441,-0.018647
"Bin.1.42",0.07582,0.0067073,-0.010338,0.018002,0.025509,-0.028329,-0.0028128,-0.021565
"Bin.1.38",0.055894,0.0071874,-0.00095936,0.0085918,0.018614,-0.0055259,0.01247,-0.00066207
"Bin.1.34",0.030073,0.028714,0.0035869,0.0052761,0.063146,-0.071888,-0.0067098,-0.022798
"Bin.1.30",0.015831,0.026112,-0.0059362,-0.030265,0.031877,-0.070318,0.02211,-0.0369
"Bin.1.26",-0.00044668,0.0035967,-0.039535,-0.051726,-0.037998,-0.035891,0.00083353,-0.041556
"Bin.1.22",0.018547,0.0016168,-0.016433,-0.041087,-0.0073255,-0.021235,0.00624,-0.015952
"Bin.1.18",0.040852,0.0112,0.0019293,-0.0088345,0.052594,-0.020089,-0.011388,-0.00016396
"Bin.1.14",0.050975,-0.0062124,0.0093697,-0.0015523,0.051535,-0.044182,0.0022118,0.023403
"Bin.1.10",0.036845,-0.014482,-0.03788,-0.020409,-0.029508,-0.0037092,-0.0048794,0.0159
"Bin.1.06",0.068209,-0.00068251,-0.026689,0.0055483,0.014458,-0.02059,-0.039818,-0.024072
"Bin.1.02",0.10503,0.011007,-0.0085765,0.0095888,0.0034388,-0.036815,-0.013442,-0.02798
"Bin.0.98",0.10757,0.020551,-0.0049201,0.0032948,0.008457,-0.004516,-0.02343,-0.033895
"Bin.0.94",0.10533,0.021882,0.0078864,0.011409,0.018952,0.0055116,-0.018031,-0.010013
"Bin.0.90",0.080334,0.019978,-0.0055681,-0.0057085,0.019639,-0.017217,-0.025591,-0.018503
"Bin.0.86",0.093522,0.023665,-0.0049129,-0.012168,0.0089635,-0.018623,-0.0092123,-0.013236
"Bin.0.82",0.1321,0.020671,0.0027961,0.023648,0.020641,-0.0084857,0.02684,-0.012743
"Bin.0.78",0.13437,0.0013252,-0.0016881,0.025289,-0.0051506,-0.015468,0.0064858,-0.0097356
"Bin.0.74",0.11495,-0.19117,0.030237,0.10635,-0.047735,0.044403,-0.12968,0.061816
"Bin.0.70",0.14624,-0.19001,0.030009,0.098239,-0.058121,0.051136,-0.10034,0.071785
"Bin.0.66",0.14816,-0.18898,0.026899,0.10946,-0.052305,0.071337,-0.099799,0.055435
"Bin.0.62",0.19291,-0.17833,0.031032,0.10223,0.0014716,-0.14011,0.095708,0.019455
"Bin.0.58",0.18344,-0.18035,0.025796,0.10325,0.036658,-0.12616,0.073481,0.026189
"Bin.0.54",0.17317,-0.18696,0.024878,0.093256,0.029692,-0.098843,0.070538,0.034646
"Bin.0.50",0.2379,-0.1427,0.012607,0.13511,-0.0073416,-0.20097,0.30965,-0.020155
"Bin.0.46",0.2276,-0.15516,-0.036853,0.010332,0.045574,-0.24148,0.23293,-0.049348
"Bin.0.42",0.18098,-0.14829,-0.10369,0.083705,-0.1294,0.11594,0.19354,-0.27165
"Bin.0.38",0.12797,-0.17468,-0.042515,0.02508,-0.093795,0.264,0.15886,-0.076707
"Bin.0.34",0.18918,-0.16233,-0.066883,0.043153,-0.082041,-0.21333,0.25302,-0.21898
"Bin.0.30",0.20608,-0.15179,-0.10979,0.08559,-0.056243,0.0081615,0.39621,-0.43717
"Bin.0.26",0.24538,-0.13223,-0.090765,0.062786,0.013348,-0.080388,0.35306,-0.38772
"Bin.0.22",0.25473,-0.1442,-0.058075,-0.039398,0.046109,-0.12762,0.32791,-0.30854
